elo.diff;outcome
-26.8;1
-114.8;0
-46.3999999999999;1
-0.799999999999955;1
135.2;1
-94;0
-66;0
74.8;1
-13.2;1
-177.2;0
-187.6;0
-142;0
-224.4;0
218.8;1
264;0
96;1
113.6;1
192.8;1
193.2;1
211.2;1
97.5999999999999;1
-130.4;0
-0.799999999999955;0
-90.8;0
156.4;0
50.4;0
56.8;1
56.6;1
37.4;1
51;1
102.8;1
-161.2;0
-279;0
-107.4;0
-72.6000000000001;0
-193.6;0
-258.6;0
219;0
-124.2;0
-175.8;0
-5.60000000000002;0
-45.2;0
-96.1999999999999;0
-78.3999999999999;1
-5.39999999999998;1
-1.79999999999995;0
15.4000000000001;0
62.8000000000001;0
-20;1
61.4;0
10.1999999999998;1
-35;0
-245.4;1
-94.1999999999999;0
30.4000000000001;0
-326.6;0
130.6;1
-211;0
-184;0
112.2;0
-100;1
23.2;0
185.4;1
-6.79999999999995;1
-374.2;0
56.4000000000001;1
-85.5999999999999;0
160.8;1
-9.59999999999991;1
-267.2;0
-298.8;0
-160.2;0
-4.20000000000005;1
-11.2;0
-98;0
-27;0
-52.6;0
111.2;1
-18.8;1
208.4;1
-86.6000000000001;0
-52.8;1
-188.8;0
204;0
-19.6;1
-102.2;0
-13;1
97;1
-16.4000000000001;0
-55.9999999999999;1
-113.2;0
29;0
33.3999999999999;1
-114.4;0
-146.8;1
187.8;0
-61.2;0
12.3999999999999;0
-69.1999999999999;0
109.6;1
122.4;0
-94.3999999999999;1
11.4000000000001;1
227.4;1
-335.8;0
-38.1999999999999;0
-92.1999999999999;1
-216.4;0
-197;1
164.4;1
193.6;1
134.2;0
-148;0
99.8;0
399;1
-349.8;0
196.4;1
-68.2;1
4;0
147.2;1
-252.2;0
161.2;1
16;1
-11.8;0
54.3999999999999;1
-66.0000000000001;0
64.4;1
204.4;1
-45.2;0
-17.8;1
148.8;1
20.8;0
147;1
120;1
184.8;1
-130;0
309.2;0
-2;1
34.2;0
-205;1
56;1
-34.2;1
-0.399999999999977;0
132.8;0
151.6;1
-154.4;0
113;1
32.5999999999999;0
103.6;1
-114;1
1.19999999999993;0
-0.200000000000045;1
61.5999999999999;0
-176.4;0
154.8;1
52.8;1
5.79999999999995;0
45.2;1
34.3999999999999;1
-142.2;0
-142.4;0
-155.6;0
-79.3999999999999;0
-269.6;0
-37.8000000000002;0
-190.6;1
164;1
258.8;1
134.8;1
-117.2;0
-83;0
-158.6;0
-259.2;0
-216.8;0
38.8;0
-104.6;0
-0.399999999999977;1
-222.4;0
-58.4000000000001;0
140.8;1
-185;0
214.8;1
60.8;1
100.2;1
-81.8;0
152.8;1
-95.6000000000001;1
27.3999999999999;1
-6.60000000000002;1
28.2;1
-132.2;0
-56.2;0
218.8;1
-244;0
-33;0
-25.8;0
-91.3999999999999;0
-71.2;0
-183.2;0
44;1
-113.6;1
12.2;1
28.8;1
-127;0
11.4000000000001;0
-43.8;1
-165.8;0
-74.1999999999999;0
-98.8000000000001;1
-6.40000000000009;1
-138.6;0
24.8000000000001;0
-24.6;1
-59.0000000000001;1
12.1999999999998;1
-3;0
105.8;1
122.4;1
133;1
-102.8;1
-2.19999999999982;1
26.3999999999999;0
10.2;1
46.3999999999999;1
-162.6;1
51.3999999999999;0
-166.2;0
-340;0
-81.2;0
-370.6;0
-100;0
-7.59999999999991;0
84.8;1
-331.8;0
58.6000000000001;1
160.2;1
-259;0
143.2;1
-46.1999999999998;1
-39.6;0
-327.8;0
126.2;1
-80.3999999999999;1
98.8000000000001;1
-94.0000000000001;0
156.4;0
61.2;1
53.4;0
-116.2;1
-5.20000000000005;0
17.4000000000001;1
75;1
40.2;1
143;1
-7.79999999999995;1
161;1
-153.2;1
-33.6;1
17.4;1
5.80000000000018;0
39.8;1
62.6000000000001;0
-69.6000000000001;0
51.4;1
-66;1
-50.4000000000001;0
98;1
236;1
-127.4;1
77.8000000000001;1
-63.8000000000001;0
